Song Name,Blues,Classical,Country,Electronic,Hip-Hop,Jazz,Metal,Pop,Reggae,Rock
Hate My Heart _by_ Carrie Underwood,2.5021636,-3.6334822,10.50359,0.025142848,-1.6153584,-0.9340418,5.3575926,-0.50085324,-1.592847,4.4211645
Heading South _by_ Zach Bryan,4.3589354,-1.5900441,11.066285,-2.4988055,4.8663793,2.515201,-0.44677526,2.6627622,4.2741323,-0.66748923
Heaven _by_ Kane Brown,1.4771876,-3.9764352,10.554069,1.11687,2.2898223,0.95341355,1.222738,1.1914706,-0.27163595,1.1683239
Heavy Eyes _by_ Zach Bryan,1.9510913,-4.641856,9.761651,1.5187216,-0.7036833,0.23712546,3.4182935,1.8525208,-0.7319247,3.6739626
High Heels - Party Down Under - Sam Feldt vs. Flo Rida _by_ Flo Rid,1.74472,-4.3804345,11.323734,1.8768356,5.721877,2.6953418,0.22704946,0.897067,3.460007,-2.633227
High Heels - Whistle While You Twerk _by_ Flo Rid,0.008963877,-7.0069184,15.350046,6.310815,7.186069,-0.048434798,1.2656221,7.800756,1.5552361,-3.0228968
High Heels _by_ Flo Rid,0.060192518,-6.3472285,10.617676,3.235664,5.030049,0.78255445,4.959826,3.7819085,-0.65676063,0.8259471
Human _by_ Cody Johnson,2.2277946,-2.9607131,8.634701,-0.9547364,2.9354985,0.9455634,1.1438642,2.4756846,0.21637987,-0.081055336
I Hope (feat. Charlie Puth) _by_ Gabby Barrett,1.6523029,-4.3179784,11.542777,4.297232,5.123382,-1.1771914,3.7236583,4.8773117,-1.6171178,-0.45117062
I Hope _by_ Gabby Barrett,0.8826409,-4.6768246,10.672617,2.2795668,1.4754508,0.08871626,1.3807447,2.8841968,-1.0646186,2.625892
I Wrote The Book _by_ Morgan Wallen,-0.8157839,-12.415656,20.966143,10.96805,5.330723,-3.55879,1.1191771,12.530345,7.754339,-0.17765109
I'll Be Lovin' You _by_ Miranda Lambert,4.2908273,-4.894448,12.512151,1.9072614,-2.1544797,0.5514824,0.22267143,2.6600788,1.4819654,4.6570964
If I Didn't Love You _by_ Jason Aldean,1.8572018,-4.027888,9.907784,0.19897789,-2.7891667,0.41728264,4.7836704,0.86049026,-1.0857921,4.2649126
If I Was a Cowboy _by_ Miranda Lambert,2.5884233,-1.2054073,9.19735,-1.8752098,0.05429339,2.4199905,-1.9207635,0.7253004,0.30299246,0.43057138
Jesus' Fault _by_ Zach Williams,2.0566535,-5.2959166,9.746307,2.6246572,-0.38176054,0.54748255,2.473973,2.4871294,-0.87948364,4.680961
"Jesus, Take the Wheel _by_ Carrie Underwood",3.7784264,1.2675899,11.272554,-1.2811143,-2.683609,0.28793973,3.3274555,-2.738803,-1.9250299,1.1215745
Last Night _by_ Morgan Wallen,3.099748,-5.073378,13.836495,4.756534,5.1047697,-1.2989506,2.8961046,3.5064502,0.7247502,-0.3141696
Like I Love Country Music _by_ Kane Brown,2.1054516,-3.976904,8.717812,2.3224869,1.2965829,-0.70981175,4.922595,1.6981124,-1.1179507,3.313366
Long Live Cowgirls (with Cody Johnson) _by_ Ian Munsick,2.5544362,-3.187134,9.513389,3.2775252,-1.8800424,1.3396173,0.19197433,2.0375624,0.5294559,2.9371243
Love You Anyway _by_ Luke Combs,1.5469453,-1.1747571,7.4907217,-1.5039427,1.4137733,1.7076032,-0.29271847,0.73453206,-1.4569836,0.6385003
Mama's Broken Heart _by_ Miranda Lambert,3.8006518,-4.684005,4.5193124,-0.76105636,-2.9140124,-1.473474,5.642308,0.1613233,-1.6440892,11.03562
Me and My Kind _by_ Cody Johnson,2.8717198,-1.7412261,10.906931,0.9017498,-2.0642235,-1.8902413,4.982641,0.26032773,-1.102519,3.7017539
Memory _by_ Kane Brown,2.1254978,-4.2266297,8.073696,1.4434938,0.81841666,0.71484476,1.5001571,1.4975224,-1.0405133,3.2783477
My Kinda Party _by_ Jason Aldean,3.1512194,-2.5613985,6.715456,0.38212365,-3.3396592,0.09390705,2.9843504,-1.5755316,-0.60190165,5.407401
Oklahoma Smokeshow _by_ Zach Bryan,2.4410167,-2.9684155,7.6151752,-0.51895267,-2.0635626,1.1704223,2.1717892,1.0153832,-1.1675947,2.2788517
On My Way to You _by_ Cody Johnson,4.5011487,-2.4032028,8.419904,-1.4011028,-0.29069075,0.9947962,2.7878149,-0.47631016,-1.4978318,3.433739
One Thing At A Time _by_ Morgan Wallen,2.138915,-3.9523916,10.0381365,-0.4340902,4.16693,-0.42141205,4.2690544,1.6519241,-0.49464065,1.0243558
One Thing Right _by_ Marshmello,0.15539199,-8.083696,19.081062,7.434274,10.820943,-2.2248437,6.1065555,7.6992383,-1.408958,0.97401506
Out Of That Truck _by_ Carrie Underwood,-0.57335573,-6.4736857,10.652798,2.9980793,1.2136579,0.52208275,3.9551,4.1824956,-0.02370424,2.8908093
Outrunnin' Your Memory _by_ Luke Combs,2.497004,-1.7842411,10.289781,-1.5746189,-0.9811966,0.28327006,1.9368503,0.45557502,-0.73297757,0.49851996
Pick Me Up _by_ Gabby Barrett,1.903136,-3.9256027,8.609262,-0.14511794,1.5930152,0.34145325,2.5838664,2.1248379,-0.5354671,2.0122118
Rivers Deep _by_ Gabby Barrett,3.271445,-6.544847,14.488348,7.73002,2.773172,-3.4521303,2.8825984,6.8182054,-0.55866426,4.636295
Saturday Nights REMIX _by_ Khalid,3.9773462,1.0815231,11.822778,-0.9284105,5.310704,1.688321,-2.0126014,-1.2613034,2.2771099,-3.0109036
She Got the Best of Me _by_ Luke Combs,1.990279,-2.9258935,9.316071,0.033969462,-1.0761244,1.1679504,1.278305,0.1694247,-0.43505293,2.4565187
She's Country _by_ Jason Aldean,3.9373174,-0.23067966,8.630688,1.095298,-2.288037,-1.0282108,4.2349334,-4.164534,-1.0077556,4.354052
Somethin' Bad (with Carrie Underwood) - Duet with Carrie Underwood [Album] _by_ Miranda Lambert,2.6228275,-3.6852982,10.098965,3.3183398,0.1395008,-1.208341,2.8150008,1.2360789,0.7935443,0.9545005
Something in the Orange _by_ Zach Bryan,5.2550926,-5.3829875,13.107138,-0.25573903,3.2412996,-3.1716013,2.2329917,0.692393,1.2549784,3.331117
Sun to Me _by_ Zach Bryan,2.707453,-1.630125,9.803245,0.011288107,3.802908,2.3805904,-1.312882,-0.8272342,1.9344833,-0.41122526
Thank God _by_ Gabby Barrett,-1.0011965,-7.7253804,12.671674,5.4923434,6.164648,0.6804338,3.244133,6.859446,1.0464371,0.71501285
Thank God _by_ Kane Brown,2.6509995,-5.536603,10.603643,5.112437,3.0300064,3.559188,0.66525745,3.245535,-1.0513216,1.59511
That's What Tequila Does _by_ Jason Aldean,2.832535,-3.9354153,10.993378,1.8177347,0.3960346,1.248023,2.6031766,3.7445374,-0.88133353,1.0537671
The Champion - Bonus Track _by_ Carrie Underwood,0.2561037,-6.0908613,8.255618,8.05194,6.0482683,-0.12259985,2.3031273,7.3388295,-0.5353984,0.4118076
The Good I'll Do _by_ Zach Bryan,2.2742481,-4.495361,11.635534,1.5301101,4.786006,1.9575197,1.0353193,1.5251502,1.9484893,-0.48685545
The Good Ones _by_ Gabby Barrett,1.3918926,-3.0932868,7.7782226,0.3852145,0.38369095,0.048188504,2.5812335,2.4631152,-0.9535424,1.9132744
The House That Built Me _by_ Miranda Lambert,2.2715676,-2.5334885,9.000946,1.1426721,1.4597268,2.6663346,2.0073228,3.1601806,-1.2348868,2.3960361
The Kind of Love We Make _by_ Luke Combs,1.3888516,-3.144511,7.6783185,0.88986796,0.43194765,1.2892379,2.5053067,1.8162411,-1.3124381,2.4814873
Thinkin’ Bout Me _by_ Morgan Wallen,1.9437206,-11.499735,15.660538,7.051151,9.572387,-1.0590166,2.2909346,8.4710455,1.9096017,-1.738505
Thought You Should Know _by_ Morgan Wallen,2.5483646,-1.3774048,6.7666454,-1.9503198,-0.75570416,1.2284579,1.1724144,2.354461,-2.2524157,2.1991181
Trouble With A Heartbreak _by_ Jason Aldean,3.0814357,-2.11537,9.527906,-1.1560168,-3.505463,-1.3056973,5.427811,-2.0103946,-1.2350433,5.454116
U Gurl _by_ Walker Hayes,1.1996498,-6.3193307,13.940292,3.102478,5.611842,1.5187002,0.41550332,3.4567475,4.3596306,-2.3611624
Wasted On You _by_ Morgan Wallen,2.0013258,-2.677152,13.923971,0.44164675,6.9019203,-2.8902705,0.9571877,4.8721614,0.4827301,-0.48835605
What Ifs (feat. Lauren Alaina) _by_ Kane Brown,2.3164492,-3.5770485,9.717633,0.86475366,-0.40935028,-2.0558646,7.2293544,-1.8732363,-1.9946761,5.4897423
When It Rains It Pours _by_ Luke Combs,1.8528053,-1.7751895,8.4920635,-0.21826202,-0.67651373,0.34809428,2.2308142,0.58917826,-2.120003,2.7369802
Whiskey Glasses _by_ Morgan Wallen,3.828394,-3.7270482,12.435781,0.40883964,1.661528,-0.12183053,-1.6474437,1.9968268,2.0232298,2.5130808
Wild as You _by_ Cody Johnson,3.0943935,-3.2067623,9.27672,-0.84618646,-2.0768545,-1.0375236,5.09739,-0.69815266,-0.89372164,4.9806776
With You I Am _by_ Cody Johnson,2.5905478,-1.2209998,8.820678,0.1340912,-1.5701892,1.4312106,0.26530904,-1.470426,-0.060792692,1.648617
Y'all Life _by_ Walker Hayes,-0.55343884,-7.0882354,13.990257,6.5209675,7.5610323,-2.456873,4.943175,6.0615716,0.7860499,0.3706165
